,artist,ngram_value,artist_slug
0,Wassily Kandinsky,2.979037605474813e-06,wassily-kandinsky
1,Agostino Carracci,1.6795362528307313e-06,agostino-carracci
2,Albert Bierstadt,2.351052408710645e-06,albert-bierstadt
3,Albrecht Altdorfer,1.0921865577266075e-06,albrecht-altdorfer
4,Albrecht Dürer,5.042276506501105e-06,albrecht-durer
5,Aleksandra Ekster,2.5993546683673808e-08,aleksandra-ekster
6,Alexei Savrasov,1.4702159482326189e-08,aleksey-savrasov
7,Alexandre Benois,7.892786635524991e-07,alexandre-benois
8,Alfred Sisley,8.048992655035304e-07,alfred-sisley
9,Alphonse Mucha,6.852598931808976e-07,alphonse-mucha
10,Amedeo Modigliani,7.989534326409419e-07,amedeo-modigliani
11,Anders Zorn,1.4855674729669253e-06,anders-zorn
12,Andre Derain,1.1494660551909837e-06,andre-derain
13,Andrea Mantegna,7.899072642836655e-06,andrea-mantegna
14,Andrei Rublev,7.010654178397548e-07,andrei-rublev
15,Andy Warhol,1.5482205233484967e-05,andy-warhol
16,Annibale Carracci,4.754278702974936e-06,annibale-carracci
17,Anthony van Dyck,3.4710043933073743e-06,anthony-van-dyck
18,Antoine Blanchard,3.755203855050693e-08,antoine-blanchard
19,Antoine Watteau,1.9952608557242625e-06,antoine-watteau
20,Arkhip Kuindzhi,2.2099250038645503e-08,arkhip-kuindzhi
21,Arnold Böcklin,3.0194525724672045e-07,arnold-b-cklin
22,Arshile Gorky,2.150745089485053e-06,arshile-gorky
23,Aubrey Beardsley,9.491834531274141e-06,aubrey-beardsley
24,August Macke,5.653420917715008e-07,august-macke
25,Auguste Rodin,4.835582316744947e-06,auguste-rodin
26,Balthus,3.9335354701243705e-06,balthus
27,Barnett Newman,2.448072749218257e-06,barnett-newman
28,Bartolome Esteban Murillo,3.7600422281143326e-07,bartolome-esteban-murillo
29,Benozzo Gozzoli,5.446672403323048e-06,benozzo-gozzoli
30,Bernardo Bellotto,5.056720032322184e-07,bernardo-bellotto
31,Berthe Morisot,2.7360609290986133e-06,berthe-morisot
32,Boris Kustodiev,7.016644378596678e-08,boris-kustodiev
33,Camille Corot,1.2017049188585493e-06,camille-corot
34,Camille Pissarro,2.9432768020939704e-06,camille-pissarro
35,Canaletto,1.6251630438488978e-05,canaletto
36,Caravaggio,4.6203343712988184e-05,caravaggio
37,Carl Larsson,9.817428720288696e-07,carl-larsson
38,Caspar David Friedrich,1.9163070937293025e-06,caspar-david-friedrich
39,Chaim Soutine,5.280173954497335e-07,chaim-soutine
40,Charles-Francois Daubigny,1.0983972588027103e-07,charles-francois-daubigny
41,Childe Hassam,4.392583288287085e-06,childe-hassam
42,Claude Lorrain,8.398525109069259e-06,claude-lorrain
43,Claude Monet,8.56635279020267e-06,claude-monet
44,Correggio,9.568391181554428e-05,correggio
45,Cy Twombly,1.0782165132736208e-06,cy-twombly
46,Damien Hirst,1.3562190369663518e-06,damien-hirst
47,Dante Gabriel Rossetti,1.4230276503184235e-05,dante-gabriel-rossetti
48,David Alfaro Siqueiros,1.1839462777076512e-06,david-alfaro-siqueiros
49,David Burliuk,4.877547725779851e-07,david-burliuk
50,Diego Rivera,9.512349186525411e-06,diego-rivera
51,Diego Velazquez,2.2702654430050515e-06,diego-velazquez
52,Domenico Ghirlandaio,2.221708563553146e-06,domenico-ghirlandaio
53,Duccio,1.3582363548831857e-05,duccio
54,Edgar Degas,3.7241835694295544e-06,edgar-degas
55,Edouard Cortes,3.2148496512317076e-08,edouard-cortes
56,Edouard Manet,3.82856173979737e-06,edouard-manet
57,Edouard Vuillard,8.697660575115083e-07,edouard-vuillard
58,Edvard Munch,4.4930579640137395e-06,edvard-munch
59,Edward Hopper,5.143613634812717e-06,edward-hopper
60,Egon Schiele,1.552818400182479e-06,egon-schiele
61,El Greco,2.6902675929322375e-05,el-greco
62,El Lissitzky,1.6425797389886896e-06,el-lissitzky
63,Emil Nolde,1.2837808138732358e-06,emil-nolde
64,Eric Fischl,5.427575875192418e-07,eric-fischl
65,Ernst Ludwig Kirchner,8.936089077781754e-07,ernst-ludwig-kirchner
66,Erte,2.9052830853455627e-06,erte
67,Eugene Boudin,5.770436549415431e-07,eugene-boudin
68,Eugene Delacroix,4.225862133497128e-06,eugene-delacroix
69,Eyvind Earle,1.0053406931762374e-07,eyvind-earle
70,Felix Vallotton ,3.391429198011531e-07,felix-vallotton
71,Ferdinand Hodler,6.503207838281436e-07,ferdinand-hodler
72,Fernand Leger,2.549400110420361e-06,fernand-leger
73,Fernando Botero,5.807402215625258e-07,fernando-botero
74,Filippo Lippi,7.975347274058596e-06,filippo-lippi
75,Fra Angelico,2.8066510000119388e-05,fra-angelico
76,Francesco Hayez,1.352416081937522e-07,francesco-hayez
77,Francis Picabia,1.6818174031444471e-06,francis-picabia
78,Francisco Goya,3.6826480416291795e-07,francisco-goya
79,Francisco de Zurbaran,2.187341925721274e-06,francisco-de-zurbaran
80,Francois Boucher,1.812017798575174e-06,francois-boucher
81,Frantisek Kupka,1.9038188303909162e-07,frantisek-kupka
82,Franz Marc,2.0324947665455175e-06,franz-marc
83,Franz Xaver Winterhalter,8.115753273664681e-08,franz-xaver-winterhalter
84,Frederic Leighton,1.675244279208987e-06,frederic-leighton
85,Frida Kahlo,3.7441731800544593e-06,frida-kahlo
86,Friedensreich Hundertwasser,1.3091990830582555e-07,friedensreich-hundertwasser
87,Fyodor Vasilyev,7.111651363534659e-09,fyodor-vasilyev
88,George Frederick Watts,1.2916770155307305e-06,george-frederick-watts
89,George Stubbs,2.8129938524073523e-06,george-stubbs
90,Georges Braque,3.156210923257027e-06,georges-braque
91,Georges Seurat,1.9673494790223157e-06,georges-de-la-tour
92,Georges de la Tour,1.148494896977513e-06,georges-seurat
93,Georgia O'Keeffe,6.200567425872547e-06,georgia-o-keeffe
94,Gerhard Richter,1.6169740112435199e-06,gerhard-richter
95,Giacomo Balla,5.752652482860307e-07,giacomo-balla
96,Gian Lorenzo Bernini,9.770247149226895e-07,gian-lorenzo-bernini
97,Gino Severini,7.300131549900286e-07,gino-severini
98,Giorgio de Chirico,2.0540252821495e-06,giorgio-de-chirico
99,Giorgione,5.0700757787414916e-05,giorgione
100,Giotto,0.0001306593811509081,giotto
101,Giovanni Battista Piranesi,9.707258684155365e-07,giovanni-battista-piranesi
102,Giovanni Battista Tiepolo,9.5546850700977e-07,giovanni-battista-tiepolo
103,Giovanni Bellini,1.2793990868335693e-05,giovanni-bellini
104,Giovanni Boldini,2.093843062605889e-07,giovanni-boldini
105,Giuseppe Arcimboldo,2.2364863695199271e-07,giuseppe-arcimboldo
106,Grandma Moses,3.3696469715513555e-06,grandma-moses
107,Guido Reni,1.2305682783992412e-05,guido-reni
108,Gustav Klimt,1.9157793195542124e-06,gustav-klimt
109,Gustave Caillebotte,4.2757561505823065e-07,gustave-caillebotte
110,Gustave Courbet,2.7916301079523934e-06,gustave-courbet
111,Gustave Dore,6.15702524873373e-06,gustave-dore
112,Gustave Moreau,3.0183853494705233e-06,gustave-moreau
113,Hans Baldung,1.6726519370351266e-06,hans-baldung
114,Hans Holbein the Younger,2.581488286554827e-06,hans-holbein-the-younger
115,Hans Memling,2.5833167761453443e-06,hans-memling
116,Henri Fantin-Latour,3.7809406990356357e-07,henri-de-toulouse-lautrec
117,Henri Martin,5.426108356080219e-06,henri-edmond-cross
118,Henri Matisse,6.9500538471472556e-06,henri-fantin-latour
119,Henri Rousseau,2.4208597507560395e-06,henri-martin
120,Henri de Toulouse-Lautrec,1.3240138855773038e-06,henri-matisse
121,Henri-Edmond Cross,9.298228086131178e-08,henri-rousseau
122,Heorhiy Narbut,0.0,heorhiy-narbut
123,Hieronymus Bosch,3.921929254911958e-06,hieronymus-bosch
124,Hiroshige,9.372848995220374e-06,hiroshige
125,Honore Daumier,1.3465276338540463e-06,honore-daumier
126,Ilya Repin,4.193149672767124e-07,ilya-repin
127,Isaac Levitan,9.662884716781546e-08,isaac-levitan
128,Ivan Aivazovsky,4.486147526311908e-08,ivan-aivazovsky
129,Ivan Bilibin,1.1945123086703506e-07,ivan-bilibin
130,Ivan Kramskoy,3.953751494299652e-08,ivan-kramskoy
131,Ivan Shishkin,6.532120995197559e-08,ivan-shishkin
132,Jacek Malczewski,1.2162439760610617e-07,jacek-malczewski
133,Jacek Yerka,7.3891179552677496e-09,jacek-yerka
134,Jackson Pollock,8.863626074858185e-06,jackson-pollock
