date,Wassily Kandinsky,Agostino Carracci,Albert Bierstadt,Albrecht Altdorfer,Albrecht Dürer,Aleksandra Ekster,Alexei Savrasov,Alexandre Benois,Alfred Sisley,Alphonse Mucha,Amedeo Modigliani,Anders Zorn,Andre Derain,Andrea Mantegna,Andrei Rublev,Andy Warhol,Annibale Carracci,Anthony van Dyck,Antoine Blanchard,Antoine Watteau,Arkhip Kuindzhi,Arnold Böcklin,Arshile Gorky,Aubrey Beardsley,August Macke,Auguste Rodin,Balthus,Barnett Newman,Bartolome Esteban Murillo,Benozzo Gozzoli,Bernardo Bellotto,Berthe Morisot,Boris Kustodiev,Camille Corot,Camille Pissarro,Canaletto,Caravaggio,Carl Larsson,Caspar David Friedrich,Chaim Soutine,Charles-Francois Daubigny,Childe Hassam,Claude Lorrain,Claude Monet,Correggio,Cy Twombly,Damien Hirst,Dante Gabriel Rossetti,David Alfaro Siqueiros,David Burliuk,Diego Rivera,Diego Velazquez,Domenico Ghirlandaio,Duccio,Edgar Degas,Edouard Manet,Edouard Vuillard,Edvard Munch,Edward Hopper,Egon Schiele,El Greco,El Lissitzky,Emil Nolde,Eric Fischl,Ernst Ludwig Kirchner,Erte,Eugene Boudin,Eugene Delacroix,Eyvind Earle,Felix Vallotton ,Ferdinand Hodler,Fernando Botero,Filippo Lippi,Fra Angelico,Francesco Hayez,Francis Picabia,Francisco Goya,Francisco de Zurbaran,Francois Boucher,Frantisek Kupka,Franz Marc,Franz Xaver Winterhalter,Frida Kahlo,Friedensreich Hundertwasser,Fyodor Vasilyev,George Frederick Watts,George Stubbs,Georges Braque,Georges Seurat,Georges de la Tour,Georgia O'Keeffe,Gerhard Richter,Giacomo Balla,Gian Lorenzo Bernini,Gino Severini,Giorgio de Chirico,Giorgione,Giotto,Giovanni Battista Tiepolo,Giovanni Bellini,Giovanni Boldini,Giuseppe Arcimboldo,Grandma Moses,Guido Reni,Gustav Klimt,Gustave Caillebotte,Gustave Courbet,Hans Baldung,Hans Holbein the Younger,Hans Memling,Henri Fantin-Latour,Henri Martin,Henri Matisse,Henri Rousseau,Henri de Toulouse-Lautrec,Henri-Edmond Cross,Hieronymus Bosch,Hiroshige,Ilya Repin,Isaac Levitan,Ivan Aivazovsky,Ivan Bilibin,Ivan Kramskoy,Ivan Shishkin,Jacek Malczewski,Jacek Yerka,Jackson Pollock,Jacob Jordaens,Jacopo Pontormo,Jacques-Louis David,James McNeill Whistler,James Tissot,Jamie Wyeth,Jan Matejko,Jan Steen,Jan van Eyck,Jean Arp,Jean Auguste Dominique Ingres,Jean Dubuffet,Jean Fouquet,Jean-Francois Millet,Jean-Leon Gerome,Jean-Michel Basquiat,Joan Miro,Joaquín Sorolla,Johannes Vermeer,John Atkinson Grimshaw,John Constable,John Everett Millais,John Henry Twachtman,John Singer Sargent,John Singleton Copley,John William Godward,John William Waterhouse,Jose Clemente Orozco,Joseph Beuys,Joseph Wright,Joshua Reynolds,Juan Gris,Karl Bryullov,Kathe Kollwitz,Katsushika Hokusai,Kazimir Malevich,Kitagawa Utamaro,Koloman Moser,Konstantin Korovin,Konstantin Makovsky,Konstantin Somov,Konstantin Yuon,Kuzma Petrov-Vodkin,Laszlo Moholy-Nagy,Leon Bakst,Lorenzo Lotto,Lucas Cranach the Elder,Lucian Freud,M.C. Escher,Man Ray,Marc Chagall,Marcel Duchamp,Mark Rothko,Martiros Saryan,Mary Cassatt,Matthias Grünewald,Maurice Prendergast,Maurice Utrillo,Maurice de Vlaminck,Max Beckmann,Max Ernst,Maxime Maufra,Michelangelo,Mikhail Nesterov,Mikhail Vrubel,Moise Kisling,N.C. Wyeth,Nicholas Roerich,Nicolas Poussin,Niko Pirosmani,Nikolai Ge,Nikolay Bogdanov-Belsky,Norman Rockwell,Octavio Ocampo,Odilon Redon,Orest Kiprensky,Oskar Kokoschka,Otto Dix,Pablo Picasso,Paolo Uccello,Paolo Veronese,Parmigianino,Paul Cezanne,Paul Delvaux,Paul Gauguin,Paul Klee,Paul Serusier,Paul Signac,Pavel Filonov,Peter Paul Rubens,Philip Guston,Piero della Francesca,Pierre Alechinsky,Pierre Bonnard,Pierre Puvis de Chavannes,Pierre-Auguste Renoir,Pierre-Paul Prud'hon,Piet Mondrian,Pieter Bruegel the Elder,Pietro Longhi,Pietro Perugino,Pyotr Konchalovsky,Qi Baishi,Raoul Dufy,Raphael Kirchner,Rembrandt,Remedios Varo,Rene Magritte,Richard Diebenkorn,Richard Hamilton,Robert Delaunay,Albrecht Altdorfer,Roy Lichtenstein,Salvador Dali,Sam Francis,Sandro Botticelli,Sergey Solomko,Sir Lawrence Alma-Tadema,Sonia Delaunay,Stanley Spencer,Suzanne Valadon,Tamara de Lempicka,Theo van Doesburg,Theo van Rysselberghe,Theodore Gericault,Theodore Rousseau,Thomas Cole,Thomas Eakins,Thomas Gainsborough,Tintoretto,Titian,Umberto Boccioni,Valentin Serov,Vasily Perov,Vasily Polenov,Vasily Surikov,Vasily Tropinin,Vasily Vereshchagin,Victor Borisov-Musatov,Viktor Vasnetsov,Vincent van Gogh,Vladimir Borovikovsky,Vladimir Makovsky,Willard Metcalf,Willem de Kooning,William Blake,William Hogarth,William Merritt Chase,William Turner,William-Adolphe Bouguereau,Winslow Homer,Zdzislaw Beksinski,Zinaida Serebriakova,Edouard Cortes,Honore Daumier,Jean-Honore Fragonard,Fernand Leger,Frederic Leighton,Giovanni Battista Piranesi,Gustave Dore,Gustave Moreau,Leonardo da Vinci,Limbourg brothers,Maurice Quentin de La Tour,Raphael,Tsukioka Yoshitoshi,Utagawa Kuniyoshi,Maria Primachenko,Mikalojus Ciurlionis
2004-01-01,31,41,50,100,65,66,57,0,61,55,67,42,81,16,60,91,58,88,0,67,0,34,55,100,29,59,23,30,32,0,0,44,0,49,73,81,47,38,75,26,0,57,13,89,48,29,33,54,32,0,51,3,49,53,91,77,100,1,57,67,68,38,50,84,64,100,0,100,41,30,0,85,10,29,14,23,71,10,89,25,34,0,70,81,0,53,32,75,79,73,36,26,48,55,89,53,71,76,12,52,23,59,22,11,42,29,34,79,42,100,0,0,87,68,27,0,81,60,30,59,0,47,0,42,12,30,55,40,16,58,94,100,48,19,57,66,57,53,45,66,52,0,59,1,28,79,0,76,22,0,51,15,81,95,72,96,75,0,7,55,81,61,76,69,41,0,0,71,0,0,78,65,26,41,9,100,56,3,70,69,0,20,66,0,67,85,100,45,0,70,0,33,100,19,20,35,54,0,0,34,53,59,0,100,48,69,22,59,57,19,0,100,77,0,66,0,65,36,48,47,32,17,51,82,65,100,0,12,0,36,100,0,66,36,50,27,25,43,100,77,69,65,84,0,72,99,59,51,43,44,68,93,0,66,100,48,15,90,53,11,0,0,0,0,21,0,16,10,0,0,0,74,67,37,54,0,58,76,8,0,0,88,61,89,51,79,69,23,16,95,33,63,17,0,0,70
2004-02-01,27,0,63,50,85,0,0,0,61,52,63,21,65,33,60,91,92,100,0,74,5,34,100,85,89,50,46,0,32,100,26,74,0,87,62,74,64,51,90,66,100,38,54,100,28,29,31,90,54,0,49,3,33,100,75,100,60,1,47,65,100,13,100,84,80,86,29,66,41,30,0,76,10,71,57,70,97,61,59,38,37,0,65,81,0,0,33,83,65,57,100,33,84,59,75,66,41,83,12,52,0,33,100,11,55,88,49,0,42,22,17,0,79,73,26,0,71,100,61,60,7,47,0,21,37,89,77,80,65,70,57,0,48,23,23,100,57,81,54,100,82,0,70,1,17,93,0,64,100,41,63,45,82,81,66,86,50,78,9,55,87,46,87,87,0,0,82,0,0,0,56,33,26,55,22,85,48,3,100,79,0,15,57,0,40,0,91,100,0,89,0,100,0,0,31,53,54,23,0,32,80,52,100,55,32,83,33,30,19,17,24,91,100,50,99,86,78,27,72,94,20,34,46,82,62,72,0,12,0,89,42,0,65,64,50,95,30,43,50,100,80,0,95,0,36,100,45,26,37,30,68,100,0,100,22,48,12,99,36,0,0,0,0,100,0,0,0,10,85,0,93,79,70,13,0,0,100,100,12,0,0,15,61,70,77,74,93,23,17,64,67,85,67,5,0,12
2004-03-01,32,100,61,62,81,81,0,64,100,40,40,26,100,37,49,90,57,95,0,73,0,84,0,76,91,46,35,73,30,24,64,81,0,54,80,81,68,47,92,32,61,0,49,93,51,20,42,89,100,0,50,3,100,50,85,79,74,1,46,90,80,62,34,0,61,62,36,81,100,0,43,84,24,36,0,58,100,100,55,46,100,58,72,87,0,33,100,72,53,80,97,59,73,63,73,71,19,100,14,51,14,45,54,40,63,54,44,65,69,41,21,63,81,67,28,0,69,74,100,37,45,0,0,26,15,0,71,49,100,100,23,49,0,52,42,50,47,65,100,41,64,100,80,2,20,81,25,86,27,100,70,18,100,68,89,81,62,38,17,0,57,47,93,43,100,0,0,88,0,0,41,40,32,34,11,79,68,4,77,67,0,21,58,0,99,90,34,67,0,93,0,41,0,0,38,58,0,57,0,39,0,91,0,78,46,90,54,18,70,18,29,85,91,0,14,0,96,100,89,19,21,63,56,50,100,93,0,45,0,33,92,0,67,78,39,100,30,53,62,93,78,54,100,0,22,20,73,31,39,73,83,90,57,82,41,88,21,100,65,27,14,0,0,0,0,0,20,11,0,0,0,18,100,54,67,0,82,43,12,0,0,100,38,55,31,30,57,43,17,0,0,74,41,11,0,100
2004-04-01,31,0,24,0,79,0,0,100,98,49,58,100,39,24,38,86,33,69,100,93,0,98,43,30,14,43,33,100,39,0,100,85,49,31,63,56,66,25,72,63,96,37,13,87,33,25,29,63,73,0,75,2,16,51,99,95,48,2,48,68,84,36,53,40,81,83,56,94,39,10,100,75,38,34,68,68,90,78,57,12,49,0,66,58,0,26,31,85,100,47,99,32,46,61,43,63,34,73,26,100,22,29,96,62,45,70,61,25,77,21,49,0,88,100,30,0,58,51,29,0,28,0,39,20,24,0,85,38,31,82,100,39,0,27,33,64,64,67,43,32,64,0,59,2,13,79,20,67,85,0,97,100,78,67,70,68,96,30,11,0,100,49,99,100,39,7,0,0,0,49,53,62,0,27,23,87,31,4,92,93,51,35,100,0,90,47,96,56,0,83,0,0,64,37,59,28,0,22,0,23,0,50,0,88,88,85,10,48,73,16,46,95,65,0,74,82,100,17,81,30,25,33,58,0,60,60,0,100,0,34,32,0,68,44,56,0,29,100,0,54,78,21,91,0,35,64,100,49,44,14,0,76,0,53,21,69,16,61,74,11,11,0,0,0,20,0,0,10,0,0,0,47,79,48,52,0,80,62,10,0,45,99,74,43,0,47,74,100,19,0,64,77,48,13,0,33
2004-05-01,30,0,52,21,85,0,0,22,85,47,78,70,61,16,67,97,29,74,0,62,5,100,37,32,87,41,48,50,29,50,22,62,43,46,100,49,54,43,88,44,84,0,34,90,29,22,41,50,64,0,58,2,68,34,99,98,17,2,59,79,98,21,98,70,79,84,0,72,0,25,87,96,16,44,72,69,97,51,74,11,65,39,68,66,100,0,14,100,72,27,73,50,100,54,75,100,47,73,26,78,29,36,65,36,43,74,36,66,71,37,100,43,75,49,26,0,76,56,68,75,0,0,34,18,72,50,84,100,68,75,40,17,100,75,48,71,48,77,45,56,94,0,79,2,21,100,17,86,56,34,69,25,34,76,72,68,63,26,19,0,53,45,100,29,68,0,0,0,0,85,56,54,11,29,10,86,100,4,97,76,45,24,32,0,22,51,31,81,0,100,0,0,28,32,34,50,0,20,0,33,22,49,0,99,36,100,27,46,32,16,100,100,76,0,65,72,86,45,60,65,34,100,59,34,74,51,0,51,0,75,77,100,59,30,62,45,58,22,21,72,100,55,65,0,91,42,62,85,70,37,0,100,78,84,56,100,21,88,94,0,10,0,0,0,0,0,14,11,0,0,78,70,68,79,45,100,49,49,12,0,0,87,90,74,64,79,71,0,18,0,0,83,70,27,0,29
2004-06-01,23,68,52,42,40,0,0,22,51,45,60,35,48,12,50,68,10,46,0,62,5,14,19,26,25,31,24,25,16,50,0,37,0,36,23,55,60,64,44,11,84,32,56,66,58,14,25,20,41,0,27,2,27,10,52,64,34,1,100,84,47,42,42,53,100,36,24,61,0,33,29,51,16,49,12,10,56,60,0,11,23,0,45,97,0,0,41,35,63,34,40,28,60,58,100,79,34,65,29,17,0,30,28,18,41,98,17,22,67,37,43,0,52,68,20,0,49,45,51,37,19,39,0,35,41,0,51,100,95,32,40,34,0,12,38,54,64,84,30,28,37,0,43,1,19,71,35,43,37,34,64,0,34,63,66,55,21,65,6,46,39,47,73,87,34,6,0,0,0,0,0,0,0,41,20,64,40,3,51,99,0,13,24,0,22,20,53,65,0,61,0,28,28,16,17,25,0,0,0,16,0,56,0,31,41,59,37,41,16,9,60,67,54,0,28,0,56,15,60,52,12,71,49,0,61,40,0,36,0,45,63,100,55,30,37,45,100,44,42,51,56,37,68,0,15,42,62,21,53,62,0,17,0,19,47,40,6,55,60,0,10,21,0,0,0,0,27,8,0,0,0,45,42,10,0,0,63,39,8,0,0,25,90,64,85,25,39,10,14,0,0,58,28,23,0,10
2004-07-01,14,0,55,22,38,0,0,0,0,40,44,18,29,19,35,47,51,29,0,20,0,45,19,34,0,25,15,52,12,35,68,39,45,29,64,13,30,90,46,12,0,100,23,45,36,11,14,58,14,0,32,1,14,41,44,32,44,1,62,64,28,22,44,74,35,44,25,32,71,9,91,58,9,31,0,31,29,80,0,0,42,41,56,53,0,47,43,10,44,43,32,71,42,46,13,40,18,28,17,9,20,6,29,9,28,51,16,23,54,20,45,45,25,28,16,0,32,35,36,65,19,0,0,37,21,26,29,35,29,51,41,0,0,0,10,13,17,37,55,0,52,0,51,1,15,85,18,34,49,0,22,13,36,57,87,36,22,27,8,0,46,38,24,61,0,0,71,0,0,0,29,29,12,12,15,50,28,3,40,88,0,4,17,0,82,11,48,39,0,41,0,0,29,0,27,31,48,0,0,13,23,58,0,48,28,35,19,30,34,9,84,42,32,0,48,0,46,24,32,41,10,75,31,0,35,29,55,38,0,31,66,0,37,48,25,24,30,15,22,36,42,58,36,0,0,0,13,22,45,52,59,17,41,19,39,21,10,37,16,0,10,0,36,0,0,100,14,5,0,0,0,30,41,44,0,0,51,31,15,0,0,52,0,6,22,26,20,41,14,28,59,39,88,16,0,20
2004-08-01,15,66,40,20,33,0,46,0,33,41,37,34,26,11,0,51,19,22,0,12,9,27,0,19,71,25,23,72,13,0,21,0,0,44,50,41,41,31,39,32,0,31,32,48,28,10,13,24,39,50,17,1,13,0,58,39,24,3,52,59,32,41,49,0,52,46,0,32,33,0,56,45,4,24,23,9,41,41,12,10,30,0,43,46,0,43,13,36,40,13,37,39,19,52,36,33,29,46,13,0,19,16,36,9,36,35,17,21,30,54,0,0,48,29,17,0,31,43,82,36,6,0,0,0,20,0,41,0,13,28,8,0,0,8,28,33,31,63,44,0,30,0,51,1,16,54,100,36,36,0,61,0,0,65,32,41,40,50,8,45,37,35,57,14,0,0,0,57,0,41,27,26,11,33,10,61,45,2,52,66,0,8,8,0,0,20,22,41,0,54,74,0,0,31,41,33,0,0,0,18,22,18,0,44,17,42,53,36,15,7,58,49,28,0,35,0,46,22,73,38,9,14,31,0,45,20,0,25,0,43,34,0,58,95,29,0,20,21,20,41,38,18,38,0,87,40,0,82,49,36,0,16,0,27,0,58,9,60,33,9,0,0,65,0,0,0,13,6,0,0,75,24,36,15,44,0,74,24,10,0,0,24,37,26,41,24,81,47,17,0,27,36,54,22,0,28
2004-09-01,28,30,19,19,65,0,0,39,45,51,68,78,30,10,30,87,52,29,78,44,8,51,17,46,33,32,47,44,16,15,58,16,0,45,55,55,57,10,90,69,74,85,10,72,36,14,20,67,49,0,33,2,49,31,65,49,7,2,77,81,51,94,54,31,52,64,65,64,30,15,0,67,18,44,11,52,57,45,66,66,28,0,51,70,0,40,12,79,75,55,63,44,27,68,44,58,42,73,9,47,9,37,58,32,49,33,24,20,53,8,13,0,66,57,21,0,75,35,45,0,5,35,0,0,55,44,45,30,24,61,28,0,0,45,51,80,21,77,81,25,33,0,63,1,4,54,0,100,41,91,42,22,30,86,39,38,37,12,8,0,47,38,77,78,0,11,0,0,0,38,75,48,10,41,11,70,47,3,65,95,40,6,14,0,100,27,54,74,94,76,0,50,75,86,54,53,81,0,0,18,40,61,74,61,56,63,41,77,71,19,71,63,59,0,82,64,62,13,49,58,11,64,46,31,67,46,93,14,0,27,87,0,71,68,37,30,26,19,19,60,63,16,57,0,67,62,44,38,49,11,0,20,0,41,17,53,20,75,44,0,0,0,0,0,31,0,12,9,0,0,69,37,61,75,0,0,74,61,15,0,0,44,46,52,0,37,58,69,18,0,75,49,100,14,0,9
2004-10-01,28,0,75,19,72,49,0,19,30,60,79,47,30,25,75,95,17,62,0,100,0,51,17,35,11,38,39,78,26,0,78,44,38,73,92,66,72,38,48,30,75,71,100,88,15,17,26,63,45,0,56,2,37,31,83,57,15,2,86,65,70,57,41,47,71,54,65,71,30,15,0,77,22,44,64,44,80,61,44,38,33,0,64,73,0,100,12,62,91,49,75,53,54,100,33,77,34,68,17,39,9,42,75,24,42,22,32,20,71,33,38,0,82,75,24,100,68,65,23,22,0,35,0,32,92,22,50,60,61,67,71,15,36,24,34,84,100,69,81,0,45,0,59,1,35,78,0,57,50,30,71,22,61,68,44,57,38,58,15,41,56,25,65,78,30,16,0,53,0,38,100,49,20,16,18,94,65,3,80,95,0,17,35,0,90,100,41,72,0,80,0,25,0,43,100,53,0,0,0,29,100,55,0,34,69,68,57,96,29,19,89,73,60,75,66,64,68,27,49,47,17,0,48,31,59,42,0,27,0,100,69,0,66,48,47,81,37,26,19,69,62,65,65,0,14,75,33,19,47,33,51,40,69,50,58,71,20,71,49,8,0,0,30,0,0,0,0,9,0,0,0,66,56,42,41,0,68,92,13,0,0,44,57,66,19,100,52,52,18,48,100,76,25,10,0,17
